#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:9
z~z._!ac1Z	GRKD-Tegaki	GRKD-Tegaki::1段	溜まる	たまる	[sound:溜まる たまる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"E~g[FQn3#P"	GRKD-Tegaki	GRKD-Tegaki::1段	捧げる	ささげる	[sound:捧げる ささげる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"w##=lyowQq"	GRKD-Tegaki	GRKD-Tegaki::1段	滲む	にじむ	[sound:滲む にじむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Cn2qqOetAX	GRKD-Tegaki	GRKD-Tegaki::1段	晒す	さらす	[sound:晒す さらす.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"E#vO!{]`Hc"	GRKD-Tegaki	GRKD-Tegaki::1段	筈	はず	[sound:筈 はず.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Pp;hHYuw-<	GRKD-Tegaki	GRKD-Tegaki::1段	這う	はう	[sound:這う はう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
c30xd(j9`t	GRKD-Tegaki	GRKD-Tegaki::1段	勿論	もちろん	[sound:勿論 もちろん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
dJ[2wlD%C1	GRKD-Tegaki	GRKD-Tegaki::1段	眩しい	まぶしい	[sound:眩しい まぶしい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
OE5,)!?=-q	GRKD-Tegaki	GRKD-Tegaki::1段	唸る	うなる	[sound:唸る うなる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
y{PfHjJRFN	GRKD-Tegaki	GRKD-Tegaki::1段	鞄	かばん	[sound:鞄 かばん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
OASbNwtYN;	GRKD-Tegaki	GRKD-Tegaki::1段	絆	きずな	[sound:絆 きずな.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Mi8c}&[}jj	GRKD-Tegaki	GRKD-Tegaki::1段	庇う	かばう	[sound:庇う かばう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
q21]X`J.*!	GRKD-Tegaki	GRKD-Tegaki::1段	躊躇	ちゅうちょ	[sound:躊躇 ちゅうちょ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
L[wVAiK3oD	GRKD-Tegaki	GRKD-Tegaki::1段	尖る	とがる	[sound:尖る とがる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Itx(@Ul>ie	GRKD-Tegaki	GRKD-Tegaki::1段	遥か	はるか	[sound:遥か はるか.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
s]B+k{+];n	GRKD-Tegaki	GRKD-Tegaki::1段	蘇る	よみがえる	[sound:蘇る よみがえる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
sf4v52,Xl(	GRKD-Tegaki	GRKD-Tegaki::1段	咄嗟に	とっさに	[sound:咄嗟に とっさに.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
k^X&*2>rGi	GRKD-Tegaki	GRKD-Tegaki::1段	揉む	もむ	[sound:揉む もむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
o(f*);QJ`?	GRKD-Tegaki	GRKD-Tegaki::1段	龍	りゅう	[sound:龍 りゅう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"mu>hXnS%#z"	GRKD-Tegaki	GRKD-Tegaki::1段	怪訝	けげん	[sound:怪訝 けげん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
h<3Gj!6SqD	GRKD-Tegaki	GRKD-Tegaki::1段	喰う	くう	[sound:喰う くう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
tvfbP,M)f,	GRKD-Tegaki	GRKD-Tegaki::1段	惚れる	ほれる	[sound:惚れる ほれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
p;4>EK8&{;	GRKD-Tegaki	GRKD-Tegaki::1段	煽る	あおる	[sound:煽る あおる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"F#hs#b&2ma"	GRKD-Tegaki	GRKD-Tegaki::1段	対峙	たいじ	[sound:対峙 たいじ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
m69|_YYaX%	GRKD-Tegaki	GRKD-Tegaki::1段	惹く	ひく	[sound:惹く ひく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
eV437jC._7	GRKD-Tegaki	GRKD-Tegaki::1段	贅沢	ぜいたく	[sound:贅沢 ぜいたく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
r{mnz5}(3v	GRKD-Tegaki	GRKD-Tegaki::1段	馴染む	なじむ	[sound:馴染む なじむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
nj_trfTy``	GRKD-Tegaki	GRKD-Tegaki::1段	瞼	まぶた	[sound:瞼 まぶた.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
A=G8@)7GIv	GRKD-Tegaki	GRKD-Tegaki::1段	息を呑む	いきをのむ	[sound:息を呑む いきをのむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"GQ.H#(s<<^"	GRKD-Tegaki	GRKD-Tegaki::1段	卿	きょう	[sound:卿 きょう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
m?61=q2{x|	GRKD-Tegaki	GRKD-Tegaki::1段	卑怯	ひきょう	[sound:卑怯 ひきょう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
C:uk_O5_S$	GRKD-Tegaki	GRKD-Tegaki::1段	薔薇	ばら	[sound:薔薇 ばら.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
i]bvehBk.C	GRKD-Tegaki	GRKD-Tegaki::1段	賑やか	にぎやか	[sound:賑やか にぎやか.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
i8N08RkdSK	GRKD-Tegaki	GRKD-Tegaki::1段	痙攣	けいれん	[sound:痙攣 けいれん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"Gk%%|{B]E#"	GRKD-Tegaki	GRKD-Tegaki::1段	厨房	ちゅうぼう	[sound:厨房 ちゅうぼう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
e{RZiHcZnH	GRKD-Tegaki	GRKD-Tegaki::1段	痺れる	しびれる	[sound:痺れる しびれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
n}[A7ZuXyb	GRKD-Tegaki	GRKD-Tegaki::1段	凛	りん	[sound:凛 りん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
NB0$8kO=/A	GRKD-Tegaki	GRKD-Tegaki::1段	些細	ささい	[sound:些細 ささい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
o7sa[jhSFB	GRKD-Tegaki	GRKD-Tegaki::1段	一瞥	いちべつ	[sound:一瞥 いちべつ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
zm~=d,=+.O	GRKD-Tegaki	GRKD-Tegaki::1段	巫女	みこ	[sound:巫女 みこ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"ntU`Y#3-/g"	GRKD-Tegaki	GRKD-Tegaki::1段	傭兵	ようへい	[sound:傭兵 ようへい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
u06g@VWCnI	GRKD-Tegaki	GRKD-Tegaki::1段	咳払い	せきばらい	[sound:咳払い せきばらい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
M@i`A~+2gE	GRKD-Tegaki	GRKD-Tegaki::1段	雫	しずく	[sound:雫 しずく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
hTjLY%:P;[	GRKD-Tegaki	GRKD-Tegaki::1段	拗ねる	すねる	[sound:拗ねる すねる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
dq-SKlYYxm	GRKD-Tegaki	GRKD-Tegaki::1段	踵を返す	きびすをかえす	[sound:踵を返す きびすをかえす.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
yPL2>bR*.i	GRKD-Tegaki	GRKD-Tegaki::1段	掻く	かく	[sound:掻く かく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
QG%hvRcq{&	GRKD-Tegaki	GRKD-Tegaki::1段	呻く	うめく	[sound:呻く うめく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Hd?<-Vnt;e	GRKD-Tegaki	GRKD-Tegaki::1段	微塵	みじん	[sound:微塵 みじん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"F$a#PON-0y"	GRKD-Tegaki	GRKD-Tegaki::1段	可憐	かれん	[sound:可憐 かれん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
yw^M++ek_e	GRKD-Tegaki	GRKD-Tegaki::1段	躊躇う	ためらう	[sound:躊躇う ためらう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
lk?Wm1kclX	GRKD-Tegaki	GRKD-Tegaki::1段	紐	ひも	[sound:紐 ひも.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
j6I9[e{rDQ	GRKD-Tegaki	GRKD-Tegaki::1段	麻痺	まひ	[sound:麻痺 まひ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
u55C,g[XQN	GRKD-Tegaki	GRKD-Tegaki::1段	佇む	たたずむ	[sound:佇む たたずむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
B!U$S4MC(K	GRKD-Tegaki	GRKD-Tegaki::1段	曰く	いわく	[sound:曰く いわく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
ebeb1T@YJ+	GRKD-Tegaki	GRKD-Tegaki::1段	淹れる	いれる	[sound:淹れる いれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
w9fV>BNO9c	GRKD-Tegaki	GRKD-Tegaki::1段	儚い	はかない	[sound:儚い はかない.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Nw-H9kg:}n	GRKD-Tegaki	GRKD-Tegaki::1段	鞘	さや	[sound:鞘 さや.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
A3cUXJrGw>	GRKD-Tegaki	GRKD-Tegaki::1段	唖然	あぜん	[sound:唖然 あぜん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
"jnS26J#l@B"	GRKD-Tegaki	GRKD-Tegaki::1段	咆哮	ほうこう	[sound:咆哮 ほうこう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Eqw9j{Hja[	GRKD-Tegaki	GRKD-Tegaki::1段	殲滅	せんめつ	[sound:殲滅 せんめつ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
kTgB$`~*ih	GRKD-Tegaki	GRKD-Tegaki::1段	殆ど	ほとんど	[sound:殆ど ほとんど.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
wcL&nE[kHf	GRKD-Tegaki	GRKD-Tegaki::1段	怯む	ひるむ	[sound:怯む ひるむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
Ra.32h&K@a	GRKD-Tegaki	GRKD-Tegaki::1段	蠢く	うごめく	[sound:蠢く うごめく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
lq_=iYP:D?	GRKD-Tegaki	GRKD-Tegaki::1段	華奢	きゃしゃ	[sound:華奢 きゃしゃ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_2dan
OZX&GWe>ZA	GRKD-Tegaki	GRKD-Tegaki::1段	幼馴染	おさななじみ	[sound:幼馴染 おさななじみ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
bK)0ikof[i	GRKD-Tegaki	GRKD-Tegaki::1段	鞭	むち	[sound:鞭 むち.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
c<O1S3_j!&	GRKD-Tegaki	GRKD-Tegaki::1段	砦	とりで	[sound:砦 とりで.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Ewm6_MOX1P	GRKD-Tegaki	GRKD-Tegaki::1段	迂闊	うかつ	[sound:迂闊 うかつ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
GjJn>hFy?w	GRKD-Tegaki	GRKD-Tegaki::1段	吠える	ほえる	[sound:吠える ほえる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
kxNG2:*.mT	GRKD-Tegaki	GRKD-Tegaki::1段	軋む	きしむ	[sound:軋む きしむ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
PD8o=zw@qU	GRKD-Tegaki	GRKD-Tegaki::1段	牽制	けんせい	[sound:牽制 けんせい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
ga;LvKNc09	GRKD-Tegaki	GRKD-Tegaki::1段	お詫び	おわび	[sound:お詫び おわび.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
lG*~oj-7cg	GRKD-Tegaki	GRKD-Tegaki::1段	目を瞑る	めをつぶる	[sound:目を瞑る めをつぶる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
"JA%E#3gX32"	GRKD-Tegaki	GRKD-Tegaki::1段	咎める	とがめる	[sound:咎める とがめる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
d+a0%c,oL}	GRKD-Tegaki	GRKD-Tegaki::1段	刺繍	ししゅう	[sound:刺繍 ししゅう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
B34i+4h;YP	GRKD-Tegaki	GRKD-Tegaki::1段	閃光	せんこう	[sound:閃光 せんこう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
"iL~66OYPP#"	GRKD-Tegaki	GRKD-Tegaki::1段	埃	ほこり	[sound:埃 ほこり.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
AACu`U94Qo	GRKD-Tegaki	GRKD-Tegaki::1段	跪く	ひざまずく	[sound:跪く ひざまずく.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
fzzb//M8pZ	GRKD-Tegaki	GRKD-Tegaki::1段	轟音	ごうおん	[sound:轟音 ごうおん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
xfl6h2icJm	GRKD-Tegaki	GRKD-Tegaki::1段	絨毯	じゅうたん	[sound:絨毯 じゅうたん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
b%unv`Gu4f	GRKD-Tegaki	GRKD-Tegaki::1段	蝶	ちょう	[sound:蝶 ちょう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
"H#x>2%E#J+"	GRKD-Tegaki	GRKD-Tegaki::1段	蹂躙	じゅうりん	[sound:蹂躙 じゅうりん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
xPPt`9*HBH	GRKD-Tegaki	GRKD-Tegaki::1段	彷徨う	さまよう	[sound:彷徨う さまよう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
hj0B%iR5&$	GRKD-Tegaki	GRKD-Tegaki::1段	檻	おり	[sound:檻 おり.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
pcdY_%$v*b	GRKD-Tegaki	GRKD-Tegaki::1段	訊ねる	たずねる	[sound:訊ねる たずねる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
N29OQsJ8?&	GRKD-Tegaki	GRKD-Tegaki::1段	訝しい	いぶかしい	[sound:訝しい いぶかしい.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Abp?.|<f-F	GRKD-Tegaki	GRKD-Tegaki::1段	膣内	ちつない	[sound:膣内 ちつない.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
xk$tS]2jTC	GRKD-Tegaki	GRKD-Tegaki::1段	兎	うさぎ	[sound:兎 うさぎ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
F4hFxC8,!T	GRKD-Tegaki	GRKD-Tegaki::1段	躱す	かわす	[sound:躱す かわす.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
ubT=F7GILw	GRKD-Tegaki	GRKD-Tegaki::1段	渾身	こんしん	[sound:渾身 こんしん.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
KAr<?M]J{P	GRKD-Tegaki	GRKD-Tegaki::1段	鱗	うろこ	[sound:鱗 うろこ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
m1cJWv4`G4	GRKD-Tegaki	GRKD-Tegaki::1段	妾	めかけ	[sound:妾 めかけ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
Kz*7401M5[	GRKD-Tegaki	GRKD-Tegaki::1段	屍	しかばね	[sound:屍 しかばね.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
EsapR>6,52	GRKD-Tegaki	GRKD-Tegaki::1段	溜息	ためいき	[sound:溜息 ためいき.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
p7mg!l14Vg	GRKD-Tegaki	GRKD-Tegaki::1段	喘ぐ	あえぐ	[sound:喘ぐ あえぐ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
jeaDIANrSI	GRKD-Tegaki	GRKD-Tegaki::1段	見惚れる	みとれる	[sound:見惚れる みとれる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
O/;`DPHsh6	GRKD-Tegaki	GRKD-Tegaki::1段	咥える	くわえる	[sound:咥える くわえる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
c3dBU$UYRP	GRKD-Tegaki	GRKD-Tegaki::1段	攫う	さらう	[sound:攫う さらう.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
qu&]29]7`&	GRKD-Tegaki	GRKD-Tegaki::1段	炸裂	さくれつ	[sound:炸裂 さくれつ.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
.*+7&r).*	GRKD-Tegaki	GRKD-Tegaki::1段	肩を竦める	かたをすくめる	[sound:肩を竦める かたをすくめる.mp3]			non_joyo_kanji review_before_move move_non_joyo_to_3dan
